t	rad	xerr	yerr
12.867	0.065	0.005	0.009
12.933	-0.009	0.005	0.009
13.000	-0.086	0.005	0.009
13.067	-0.150	0.005	0.009
13.133	-0.198	0.005	0.009
13.200	-0.221	0.005	0.009
13.267	-0.222	0.005	0.009
13.333	-0.196	0.005	0.009
13.400	-0.148	0.005	0.009
13.467	-0.085	0.005	0.009
13.533	-0.013	0.005	0.009
13.600	0.062	0.005	0.009
13.667	0.129	0.005	0.009
13.733	0.182	0.005	0.009
13.800	0.217	0.005	0.009
13.867	0.227	0.005	0.009
13.933	0.212	0.005	0.009
14.000	0.176	0.005	0.009
14.067	0.122	0.005	0.009
14.133	0.055	0.005	0.009
14.200	-0.019	0.005	0.009
14.267	-0.092	0.005	0.009
14.333	-0.152	0.005	0.009
14.400	-0.196	0.005	0.009
14.467	-0.218	0.005	0.009
14.533	-0.216	0.005	0.009
14.600	-0.189	0.005	0.009
14.667	-0.141	0.005	0.009
14.733	-0.076	0.005	0.009
14.800	-0.005	0.005	0.009
14.867	0.070	0.005	0.009
14.933	0.134	0.005	0.009
15.000	0.183	0.005	0.009
15.067	0.215	0.005	0.009
15.133	0.224	0.005	0.009
15.200	0.208	0.005	0.009
15.267	0.168	0.005	0.009
15.333	0.141	0.005	0.009
15.400	0.045	0.005	0.009
15.467	-0.028	0.005	0.009
15.533	-0.097	0.005	0.009
15.600	-0.156	0.005	0.009
15.667	-0.199	0.005	0.009
15.733	-0.217	0.005	0.009
15.800	-0.212	0.005	0.009
15.867	-0.183	0.005	0.009
15.933	-0.134	0.005	0.009
16.000	-0.069	0.005	0.009
16.067	0.004	0.005	0.009
16.133	0.076	0.005	0.009
16.200	0.138	0.005	0.009
16.267	0.188	0.005	0.009
16.333	0.217	0.005	0.009
16.400	0.224	0.005	0.009
16.467	0.200	0.005	0.009
16.533	0.161	0.005	0.009
16.600	0.105	0.005	0.009
16.667	0.037	0.005	0.009
16.733	-0.037	0.005	0.009
16.800	-0.103	0.005	0.009
16.867	-0.159	0.005	0.009
16.933	-0.199	0.005	0.009
17.000	-0.213	0.005	0.009
17.067	-0.206	0.005	0.009
17.133	-0.174	0.005	0.009
17.200	-0.121	0.005	0.009
17.267	-0.058	0.005	0.009
17.333	0.014	0.005	0.009
17.400	0.083	0.005	0.009
17.467	0.146	0.005	0.009
17.533	0.188	0.005	0.009
17.600	0.213	0.005	0.009
17.667	0.216	0.005	0.009
17.733	0.193	0.005	0.009
17.800	0.153	0.005	0.009
17.868	0.095	0.005	0.009
17.935	0.026	0.005	0.009
18.002	-0.043	0.005	0.009
18.068	-0.108	0.005	0.009
18.135	-0.165	0.005	0.009
18.202	-0.198	0.005	0.009
18.268	-0.214	0.005	0.009
18.335	-0.199	0.005	0.009
18.402	-0.167	0.005	0.009
18.468	-0.113	0.005	0.009
18.535	-0.048	0.005	0.009
18.602	0.020	0.005	0.009
18.668	0.091	0.005	0.009
18.735	0.148	0.005	0.009
18.802	0.191	0.005	0.009
18.868	0.212	0.005	0.009
18.935	0.211	0.005	0.009
19.002	0.186	0.005	0.009
19.068	0.144	0.005	0.009
19.135	0.087	0.005	0.009
19.202	0.018	0.005	0.009
19.268	-0.054	0.005	0.009
19.335	-0.113	0.005	0.009
19.402	-0.165	0.005	0.009
19.468	-0.198	0.005	0.009
19.535	-0.209	0.005	0.009
19.602	-0.194	0.005	0.009
19.668	-0.159	0.005	0.009
19.735	-0.106	0.005	0.009
19.802	-0.040	0.005	0.009
19.868	0.030	0.005	0.009
19.935	0.095	0.005	0.009
20.002	0.153	0.005	0.009
20.068	0.191	0.005	0.009
20.135	0.212	0.005	0.009
20.202	0.206	0.005	0.009
20.268	0.180	0.005	0.009
20.335	0.135	0.005	0.009
20.402	0.077	0.005	0.009
20.468	0.010	0.005	0.009
20.535	-0.059	0.005	0.009
20.602	-0.121	0.005	0.009
20.668	-0.168	0.005	0.009
20.735	-0.199	0.005	0.009
20.802	-0.205	0.005	0.009
20.868	-0.188	0.005	0.009
20.935	-0.148	0.005	0.009
21.002	-0.094	0.005	0.009
21.068	-0.027	0.005	0.009
21.135	0.042	0.005	0.009
21.202	0.107	0.005	0.009
