t	rad	xerr	yerr
56.203	-0.059	0.005	0.009
56.270	-0.010	0.005	0.009
56.337	0.041	0.005	0.009
56.403	0.090	0.005	0.009
56.470	0.126	0.005	0.009
56.537	0.151	0.005	0.009
56.603	0.159	0.005	0.009
56.670	0.149	0.005	0.009
56.737	0.126	0.005	0.009
56.803	0.106	0.005	0.009
56.870	0.039	0.005	0.009
56.937	-0.012	0.005	0.009
57.003	-0.060	0.005	0.009
57.070	-0.104	0.005	0.009
57.137	-0.135	0.005	0.009
57.203	-0.149	0.005	0.009
57.270	-0.146	0.005	0.009
57.337	-0.127	0.005	0.009
57.403	-0.094	0.005	0.009
57.470	-0.050	0.005	0.009
57.537	-0.001	0.005	0.009
57.603	0.049	0.005	0.009
57.670	0.095	0.005	0.009
57.737	0.130	0.005	0.009
57.803	0.150	0.005	0.009
57.870	0.157	0.005	0.009
57.937	0.144	0.005	0.009
58.003	0.117	0.005	0.009
58.070	0.076	0.005	0.009
58.137	0.029	0.005	0.009
58.203	-0.021	0.005	0.009
58.270	-0.069	0.005	0.009
58.337	-0.109	0.005	0.009
58.403	-0.137	0.005	0.009
58.470	-0.151	0.005	0.009
58.537	-0.142	0.005	0.009
58.603	-0.122	0.005	0.009
58.670	-0.086	0.005	0.009
58.737	-0.041	0.005	0.009
58.803	0.008	0.005	0.009
58.870	0.057	0.005	0.009
58.937	0.099	0.005	0.009
59.003	0.134	0.005	0.009
59.070	0.150	0.005	0.009
59.137	0.152	0.005	0.009
59.203	0.138	0.005	0.009
59.270	0.108	0.005	0.009
59.337	0.067	0.005	0.009
59.403	0.019	0.005	0.009
59.470	-0.030	0.005	0.009
59.537	-0.076	0.005	0.009
59.603	-0.114	0.005	0.009
59.670	-0.138	0.005	0.009
59.737	-0.149	0.005	0.009
59.803	-0.139	0.005	0.009
59.870	-0.116	0.005	0.009
59.937	-0.077	0.005	0.009
60.003	-0.033	0.005	0.009
60.070	0.015	0.005	0.009
60.137	0.064	0.005	0.009
60.203	0.105	0.005	0.009
60.270	0.135	0.005	0.009
60.337	0.151	0.005	0.009
60.403	0.149	0.005	0.009
60.470	0.133	0.005	0.009
60.537	0.102	0.005	0.009
60.603	0.059	0.005	0.009
60.670	0.012	0.005	0.009
60.737	-0.039	0.005	0.009
60.803	-0.084	0.005	0.009
60.870	-0.120	0.005	0.009
60.937	-0.141	0.005	0.009
61.003	-0.147	0.005	0.009
61.070	-0.134	0.005	0.009
61.137	-0.109	0.005	0.009
61.203	-0.071	0.005	0.009
61.270	-0.025	0.005	0.009
61.337	0.025	0.005	0.009
61.403	0.073	0.005	0.009
61.470	0.111	0.005	0.009
61.537	0.135	0.005	0.009
61.603	0.151	0.005	0.009
61.670	0.148	0.005	0.009
61.737	0.128	0.005	0.009
61.803	0.095	0.005	0.009
61.870	0.051	0.005	0.009
61.937	0.004	0.005	0.009
62.003	-0.045	0.005	0.009
62.070	-0.088	0.005	0.009
62.137	-0.121	0.005	0.009
62.203	-0.141	0.005	0.009
62.270	-0.143	0.005	0.009
62.337	-0.130	0.005	0.009
62.403	-0.103	0.005	0.009
62.470	-0.064	0.005	0.009
62.537	-0.015	0.005	0.009
62.603	0.033	0.005	0.009
62.670	0.078	0.005	0.009
62.737	0.098	0.005	0.009
62.803	0.141	0.005	0.009
62.870	0.149	0.005	0.009
62.937	0.144	0.005	0.009
63.003	0.122	0.005	0.009
63.070	0.087	0.005	0.009
63.137	0.043	0.005	0.009
63.203	-0.005	0.005	0.009
63.270	-0.052	0.005	0.009
63.337	-0.093	0.005	0.009
63.403	-0.124	0.005	0.009
63.470	-0.140	0.005	0.009
63.537	-0.141	0.005	0.009
63.603	-0.125	0.005	0.009
63.670	-0.095	0.005	0.009
63.737	-0.054	0.005	0.009
63.803	-0.008	0.005	0.009
63.870	0.041	0.005	0.009
63.937	0.084	0.005	0.009
64.003	0.119	0.005	0.009
64.070	0.141	0.005	0.009
64.137	0.149	0.005	0.009
64.203	0.140	0.005	0.009
64.270	0.116	0.005	0.009
64.337	0.079	0.005	0.009
64.403	0.036	0.005	0.009
64.470	-0.013	0.005	0.009
64.537	-0.060	0.005	0.009
64.603	-0.099	0.005	0.009
64.670	-0.127	0.005	0.009
64.737	-0.141	0.005	0.009
