t	θ	uncertainty T	uncertainty A
0.00	-0.156	0.02	0.009
0.03	-0.152	0.02	0.009
0.07	-0.144	0.02	0.009
0.10	-0.133	0.02	0.009
0.13	-0.122	0.02	0.009
0.17	-0.095	0.02	0.009
0.20	-0.061	0.02	0.009
0.23	-0.019	0.02	0.009
0.27	0.021	0.02	0.009
0.30	0.054	0.02	0.009
0.33	0.083	0.02	0.009
0.37	0.108	0.02	0.009
0.40	0.132	0.02	0.009
0.43	0.146	0.02	0.009
0.47	0.150	0.02	0.009
0.50	0.145	0.02	0.009
0.53	0.127	0.02	0.009
0.57	0.101	0.02	0.009
0.60	0.070	0.02	0.009
0.63	0.039	0.02	0.009
0.66	0.004	0.02	0.009
0.70	-0.030	0.02	0.009
0.73	-0.066	0.02	0.009
0.76	-0.095	0.02	0.009
0.80	-0.126	0.02	0.009
0.83	-0.143	0.02	0.009
0.86	-0.149	0.02	0.009
0.90	-0.146	0.02	0.009
0.93	-0.133	0.02	0.009
0.96	-0.115	0.02	0.009
1.00	-0.087	0.02	0.009
1.03	-0.054	0.02	0.009
1.06	-0.017	0.02	0.009
1.10	0.019	0.02	0.009
1.13	0.055	0.02	0.009
1.16	0.088	0.02	0.009
1.20	0.114	0.02	0.009
1.23	0.136	0.02	0.009
1.26	0.144	0.02	0.009
1.30	0.145	0.02	0.009
1.33	0.137	0.02	0.009
1.36	0.121	0.02	0.009
1.40	0.097	0.02	0.009
1.43	0.069	0.02	0.009
1.46	0.035	0.02	0.009
1.50	0.000	0.02	0.009
1.53	-0.036	0.02	0.009
1.56	-0.070	0.02	0.009
1.60	-0.099	0.02	0.009
1.63	-0.127	0.02	0.009
1.66	-0.138	0.02	0.009
1.70	-0.143	0.02	0.009
1.73	-0.141	0.02	0.009
1.76	-0.128	0.02	0.009
1.80	-0.110	0.02	0.009
1.83	-0.082	0.02	0.009
1.86	-0.048	0.02	0.009
1.89	-0.012	0.02	0.009
1.93	0.023	0.02	0.009
1.96	0.057	0.02	0.009
1.99	0.090	0.02	0.009
2.03	0.116	0.02	0.009
2.06	0.134	0.02	0.009
2.09	0.143	0.02	0.009
2.13	0.144	0.02	0.009
2.16	0.135	0.02	0.009
2.19	0.118	0.02	0.009
2.23	0.095	0.02	0.009
2.26	0.065	0.02	0.009
2.29	0.032	0.02	0.009
2.33	-0.003	0.02	0.009
2.36	-0.038	0.02	0.009
2.39	-0.070	0.02	0.009
2.43	-0.098	0.02	0.009
2.46	-0.126	0.02	0.009
2.49	-0.142	0.02	0.009
2.53	-0.147	0.02	0.009
2.56	-0.143	0.02	0.009
2.59	-0.130	0.02	0.009
2.63	-0.106	0.02	0.009
2.66	-0.078	0.02	0.009
2.69	-0.044	0.02	0.009
2.73	-0.008	0.02	0.009
2.76	0.026	0.02	0.009
2.79	0.060	0.02	0.009
2.83	0.090	0.02	0.009
2.86	0.115	0.02	0.009
2.89	0.132	0.02	0.009
2.93	0.140	0.02	0.009
2.96	0.140	0.02	0.009
2.99	0.131	0.02	0.009
3.02	0.114	0.02	0.009
3.06	0.089	0.02	0.009
3.09	0.060	0.02	0.009
3.12	0.026	0.02	0.009
3.16	-0.008	0.02	0.009
3.19	-0.043	0.02	0.009
3.22	-0.076	0.02	0.009
3.26	-0.103	0.02	0.009
3.29	-0.124	0.02	0.009
3.32	-0.140	0.02	0.009
3.36	-0.146	0.02	0.009
3.39	-0.142	0.02	0.009
3.42	-0.128	0.02	0.009
3.46	-0.103	0.02	0.009
3.49	-0.075	0.02	0.009
3.52	-0.043	0.02	0.009
3.56	-0.008	0.02	0.009
3.59	0.026	0.02	0.009
3.62	0.060	0.02	0.009
3.66	0.090	0.02	0.009
3.69	0.112	0.02	0.009
3.72	0.130	0.02	0.009
3.76	0.138	0.02	0.009
3.79	0.137	0.02	0.009
3.82	0.127	0.02	0.009
3.86	0.110	0.02	0.009
3.89	0.086	0.02	0.009
3.92	0.058	0.02	0.009
3.96	0.025	0.02	0.009
3.99	-0.010	0.02	0.009
4.02	-0.045	0.02	0.009
4.06	-0.078	0.02	0.009
4.09	-0.104	0.02	0.009
4.12	-0.124	0.02	0.009
4.16	-0.139	0.02	0.009
4.19	-0.144	0.02	0.009
4.22	-0.140	0.02	0.009
4.25	-0.125	0.02	0.009
4.29	-0.101	0.02	0.009
4.32	-0.073	0.02	0.009
4.35	-0.041	0.02	0.009
4.39	-0.006	0.02	0.009
4.42	0.028	0.02	0.009
4.45	0.060	0.02	0.009
4.49	0.090	0.02	0.009
4.52	0.115	0.02	0.009
4.55	0.130	0.02	0.009
4.59	0.137	0.02	0.009
4.62	0.136	0.02	0.009
4.65	0.125	0.02	0.009
4.69	0.107	0.02	0.009
4.72	0.083	0.02	0.009
4.75	0.054	0.02	0.009
4.79	0.021	0.02	0.009
4.82	-0.013	0.02	0.009
4.85	-0.047	0.02	0.009
4.89	-0.079	0.02	0.009
4.92	-0.104	0.02	0.009
4.95	-0.124	0.02	0.009
4.99	-0.138	0.02	0.009
5.02	-0.143	0.02	0.009
5.05	-0.138	0.02	0.009
5.09	-0.119	0.02	0.009
5.12	-0.095	0.02	0.009
5.15	-0.068	0.02	0.009
5.19	-0.036	0.02	0.009
5.22	-0.004	0.02	0.009
5.25	0.030	0.02	0.009
5.29	0.064	0.02	0.009
5.32	0.091	0.02	0.009
5.35	0.113	0.02	0.009
5.38	0.127	0.02	0.009
5.42	0.135	0.02	0.009
5.45	0.133	0.02	0.009
5.48	0.122	0.02	0.009
5.52	0.104	0.02	0.009
5.55	0.081	0.02	0.009
5.58	0.052	0.02	0.009
5.62	0.018	0.02	0.009
5.65	-0.016	0.02	0.009
5.68	-0.048	0.02	0.009
5.72	-0.079	0.02	0.009
5.75	-0.102	0.02	0.009
5.78	-0.123	0.02	0.009
5.82	-0.137	0.02	0.009
5.85	-0.138	0.02	0.009
5.88	-0.132	0.02	0.009
5.92	-0.117	0.02	0.009
5.95	-0.092	0.02	0.009
5.98	-0.064	0.02	0.009
6.02	-0.033	0.02	0.009
6.05	0.001	0.02	0.009
6.08	0.035	0.02	0.009
6.12	0.066	0.02	0.009
6.15	0.094	0.02	0.009
6.18	0.114	0.02	0.009
6.22	0.127	0.02	0.009
6.25	0.133	0.02	0.009
6.28	0.132	0.02	0.009
6.32	0.121	0.02	0.009
6.35	0.103	0.02	0.009
6.38	0.079	0.02	0.009
6.42	0.048	0.02	0.009
6.45	0.015	0.02	0.009
6.48	-0.018	0.02	0.009
6.52	-0.050	0.02	0.009
6.55	-0.079	0.02	0.009
6.58	-0.103	0.02	0.009
6.61	-0.122	0.02	0.009
6.65	-0.136	0.02	0.009
6.68	-0.136	0.02	0.009
6.71	-0.130	0.02	0.009
6.75	-0.114	0.02	0.009
6.78	-0.090	0.02	0.009
6.81	-0.062	0.02	0.009
6.85	-0.029	0.02	0.009
6.88	0.004	0.02	0.009
6.91	0.038	0.02	0.009
6.95	0.067	0.02	0.009
6.98	0.093	0.02	0.009
7.01	0.113	0.02	0.009
7.05	0.125	0.02	0.009
7.08	0.132	0.02	0.009
7.11	0.130	0.02	0.009
7.15	0.120	0.02	0.009
7.18	0.100	0.02	0.009
7.21	0.076	0.02	0.009
7.25	0.047	0.02	0.009
7.28	0.015	0.02	0.009
7.31	-0.018	0.02	0.009
7.35	-0.050	0.02	0.009
7.38	-0.080	0.02	0.009
7.41	-0.106	0.02	0.009
7.45	-0.124	0.02	0.009
7.48	-0.134	0.02	0.009
7.51	-0.135	0.02	0.009
7.55	-0.127	0.02	0.009
7.58	-0.112	0.02	0.009
7.61	-0.088	0.02	0.009
7.65	-0.059	0.02	0.009
7.68	-0.028	0.02	0.009
7.71	0.005	0.02	0.009
7.75	0.038	0.02	0.009
7.78	0.068	0.02	0.009
7.81	0.093	0.02	0.009
7.84	0.112	0.02	0.009
7.88	0.125	0.02	0.009
7.91	0.131	0.02	0.009
7.94	0.129	0.02	0.009
7.98	0.117	0.02	0.009
8.01	0.098	0.02	0.009
8.04	0.073	0.02	0.009
8.08	0.044	0.02	0.009
8.11	0.013	0.02	0.009
8.14	-0.021	0.02	0.009
8.18	-0.053	0.02	0.009
8.21	-0.082	0.02	0.009
8.24	-0.106	0.02	0.009
8.28	-0.123	0.02	0.009
8.31	-0.133	0.02	0.009
8.34	-0.133	0.02	0.009
8.38	-0.125	0.02	0.009
8.41	-0.109	0.02	0.009
8.44	-0.084	0.02	0.009
8.48	-0.057	0.02	0.009
8.51	-0.024	0.02	0.009
8.54	0.008	0.02	0.009
8.58	0.039	0.02	0.009
8.61	0.069	0.02	0.009
8.64	0.095	0.02	0.009
8.68	0.113	0.02	0.009
8.71	0.125	0.02	0.009
8.74	0.129	0.02	0.009
8.78	0.125	0.02	0.009
8.81	0.113	0.02	0.009
8.84	0.094	0.02	0.009
8.88	0.069	0.02	0.009
8.91	0.040	0.02	0.009
8.94	0.009	0.02	0.009
8.97	-0.024	0.02	0.009
9.01	-0.055	0.02	0.009
9.04	-0.084	0.02	0.009
9.07	-0.106	0.02	0.009
9.11	-0.123	0.02	0.009
9.14	-0.131	0.02	0.009
9.17	-0.130	0.02	0.009
9.21	-0.123	0.02	0.009
9.24	-0.103	0.02	0.009
9.27	-0.082	0.02	0.009
9.31	-0.054	0.02	0.009
9.34	-0.022	0.02	0.009
9.37	0.010	0.02	0.009
9.41	0.041	0.02	0.009
9.44	0.070	0.02	0.009
9.47	0.095	0.02	0.009
9.51	0.113	0.02	0.009
9.54	0.124	0.02	0.009
9.57	0.127	0.02	0.009
9.61	0.123	0.02	0.009
9.64	0.111	0.02	0.009
9.67	0.092	0.02	0.009
9.71	0.067	0.02	0.009
9.74	0.037	0.02	0.009
9.77	0.006	0.02	0.009
9.81	-0.025	0.02	0.009
9.84	-0.056	0.02	0.009
9.87	-0.083	0.02	0.009
9.91	-0.106	0.02	0.009
9.94	-0.122	0.02	0.009
9.97	-0.129	0.02	0.009
10.01	-0.127	0.02	0.009
10.04	-0.120	0.02	0.009
10.07	-0.100	0.02	0.009
10.11	-0.077	0.02	0.009
10.14	-0.049	0.02	0.009
10.17	-0.020	0.02	0.009
10.20	0.013	0.02	0.009
10.24	0.043	0.02	0.009
10.27	0.072	0.02	0.009
10.30	0.095	0.02	0.009
10.34	0.112	0.02	0.009
10.37	0.122	0.02	0.009
10.40	0.125	0.02	0.009
10.44	0.120	0.02	0.009
10.47	0.108	0.02	0.009
10.50	0.089	0.02	0.009
10.54	0.064	0.02	0.009
10.57	0.035	0.02	0.009
10.60	0.004	0.02	0.009
10.64	-0.028	0.02	0.009
10.67	-0.058	0.02	0.009
10.70	-0.084	0.02	0.009
10.74	-0.105	0.02	0.009
10.77	-0.122	0.02	0.009
10.80	-0.128	0.02	0.009
10.84	-0.126	0.02	0.009
10.87	-0.113	0.02	0.009
10.90	-0.098	0.02	0.009
10.94	-0.074	0.02	0.009
10.97	-0.047	0.02	0.009
11.00	-0.016	0.02	0.009
11.04	0.014	0.02	0.009
11.07	0.045	0.02	0.009
11.10	0.072	0.02	0.009
11.14	0.096	0.02	0.009
11.17	0.111	0.02	0.009
11.20	0.120	0.02	0.009
11.24	0.123	0.02	0.009
11.27	0.118	0.02	0.009
11.30	0.104	0.02	0.009
11.34	0.084	0.02	0.009
11.37	0.060	0.02	0.009
11.40	0.031	0.02	0.009
11.43	0.001	0.02	0.009
11.47	-0.030	0.02	0.009
11.50	-0.060	0.02	0.009
11.53	-0.085	0.02	0.009
11.57	-0.104	0.02	0.009
11.60	-0.120	0.02	0.009
11.63	-0.126	0.02	0.009
11.67	-0.123	0.02	0.009
11.70	-0.110	0.02	0.009
11.73	-0.095	0.02	0.009
11.77	-0.070	0.02	0.009
11.80	-0.042	0.02	0.009
11.83	-0.012	0.02	0.009
11.87	0.018	0.02	0.009
11.90	0.047	0.02	0.009
11.93	0.073	0.02	0.009
11.97	0.095	0.02	0.009
12.00	0.111	0.02	0.009
12.03	0.120	0.02	0.009
12.07	0.121	0.02	0.009
12.10	0.114	0.02	0.009
12.13	0.101	0.02	0.009
12.17	0.081	0.02	0.009
12.20	0.057	0.02	0.009
12.23	0.028	0.02	0.009
12.27	-0.003	0.02	0.009
12.30	-0.032	0.02	0.009
12.33	-0.060	0.02	0.009
12.37	-0.084	0.02	0.009
12.40	-0.104	0.02	0.009
12.43	-0.120	0.02	0.009
12.47	-0.119	0.02	0.009
12.50	-0.116	0.02	0.009
12.53	-0.111	0.02	0.009
12.57	-0.089	0.02	0.009
12.60	-0.064	0.02	0.009
12.63	-0.040	0.02	0.009
12.66	-0.010	0.02	0.009
12.70	0.020	0.02	0.009
12.73	0.048	0.02	0.009
12.76	0.073	0.02	0.009
12.80	0.095	0.02	0.009
12.83	0.110	0.02	0.009
12.86	0.118	0.02	0.009
12.90	0.118	0.02	0.009
12.93	0.112	0.02	0.009
12.96	0.098	0.02	0.009
13.00	0.079	0.02	0.009
13.03	0.055	0.02	0.009
13.06	0.025	0.02	0.009
13.10	-0.004	0.02	0.009
13.13	-0.035	0.02	0.009
13.16	-0.062	0.02	0.009
13.20	-0.085	0.02	0.009
13.23	-0.104	0.02	0.009
13.26	-0.113	0.02	0.009
13.30	-0.119	0.02	0.009
13.33	-0.116	0.02	0.009
13.36	-0.104	0.02	0.009
13.40	-0.088	0.02	0.009
13.43	-0.063	0.02	0.009
13.46	-0.034	0.02	0.009
13.50	-0.008	0.02	0.009
13.53	0.022	0.02	0.009
13.56	0.051	0.02	0.009
13.60	0.074	0.02	0.009
13.63	0.095	0.02	0.009
13.66	0.109	0.02	0.009
13.70	0.116	0.02	0.009
13.73	0.116	0.02	0.009
13.76	0.109	0.02	0.009
13.79	0.095	0.02	0.009
13.83	0.076	0.02	0.009
13.86	0.051	0.02	0.009
13.89	0.023	0.02	0.009
13.93	-0.007	0.02	0.009
13.96	-0.035	0.02	0.009
13.99	-0.061	0.02	0.009
14.03	-0.083	0.02	0.009
14.06	-0.103	0.02	0.009
14.09	-0.112	0.02	0.009
14.13	-0.117	0.02	0.009
14.16	-0.112	0.02	0.009
14.19	-0.100	0.02	0.009
14.23	-0.084	0.02	0.009
14.26	-0.060	0.02	0.009
14.29	-0.032	0.02	0.009
14.33	-0.005	0.02	0.009
14.36	0.025	0.02	0.009
14.39	0.050	0.02	0.009
14.43	0.076	0.02	0.009
14.46	0.096	0.02	0.009
14.49	0.108	0.02	0.009
14.53	0.114	0.02	0.009
14.56	0.114	0.02	0.009
14.59	0.107	0.02	0.009
14.63	0.092	0.02	0.009
14.66	0.072	0.02	0.009
14.69	0.047	0.02	0.009
14.73	0.020	0.02	0.009
14.76	-0.010	0.02	0.009
14.79	-0.039	0.02	0.009
14.83	-0.066	0.02	0.009
14.86	-0.089	0.02	0.009
14.89	-0.106	0.02	0.009
14.93	-0.116	0.02	0.009
14.96	-0.120	0.02	0.009
14.99	-0.116	0.02	0.009
15.02	-0.103	0.02	0.009
15.06	-0.081	0.02	0.009
15.09	-0.060	0.02	0.009
15.12	-0.032	0.02	0.009
15.16	-0.003	0.02	0.009
15.19	0.026	0.02	0.009
15.22	0.053	0.02	0.009
15.26	0.077	0.02	0.009
15.29	0.096	0.02	0.009
15.32	0.108	0.02	0.009
15.36	0.114	0.02	0.009
15.39	0.113	0.02	0.009
15.42	0.105	0.02	0.009
15.46	0.090	0.02	0.009
15.49	0.070	0.02	0.009
15.52	0.045	0.02	0.009
15.56	0.017	0.02	0.009
15.59	-0.011	0.02	0.009
15.62	-0.041	0.02	0.009
15.66	-0.066	0.02	0.009
15.69	-0.087	0.02	0.009
15.72	-0.105	0.02	0.009
15.76	-0.114	0.02	0.009
15.79	-0.117	0.02	0.009
15.82	-0.109	0.02	0.009
15.86	-0.096	0.02	0.009
15.89	-0.079	0.02	0.009
15.92	-0.055	0.02	0.009
15.96	-0.027	0.02	0.009
15.99	0.000	0.02	0.009
16.02	0.030	0.02	0.009
16.06	0.055	0.02	0.009
16.09	0.077	0.02	0.009
16.12	0.095	0.02	0.009
16.16	0.107	0.02	0.009
16.19	0.112	0.02	0.009
16.22	0.111	0.02	0.009
16.25	0.103	0.02	0.009
16.29	0.088	0.02	0.009
16.32	0.068	0.02	0.009
16.35	0.043	0.02	0.009
16.39	0.015	0.02	0.009
16.42	-0.013	0.02	0.009
16.45	-0.040	0.02	0.009
16.49	-0.065	0.02	0.009
16.52	-0.087	0.02	0.009
16.55	-0.105	0.02	0.009
16.59	-0.113	0.02	0.009
16.62	-0.112	0.02	0.009
16.65	-0.109	0.02	0.009
16.69	-0.095	0.02	0.009
16.72	-0.078	0.02	0.009
16.75	-0.052	0.02	0.009
16.79	-0.026	0.02	0.009
16.82	0.003	0.02	0.009
16.85	0.031	0.02	0.009
16.89	0.055	0.02	0.009
16.92	0.078	0.02	0.009
16.95	0.095	0.02	0.009
16.99	0.106	0.02	0.009
17.02	0.111	0.02	0.009
17.05	0.108	0.02	0.009
17.09	0.099	0.02	0.009
17.12	0.084	0.02	0.009
17.15	0.063	0.02	0.009
17.19	0.039	0.02	0.009
17.22	0.012	0.02	0.009
17.25	-0.017	0.02	0.009
17.29	-0.044	0.02	0.009
17.32	-0.069	0.02	0.009
17.35	-0.087	0.02	0.009
17.38	-0.104	0.02	0.009
17.42	-0.112	0.02	0.009
17.45	-0.111	0.02	0.009
17.48	-0.106	0.02	0.009
17.52	-0.092	0.02	0.009
17.55	-0.074	0.02	0.009
17.58	-0.049	0.02	0.009
17.62	-0.021	0.02	0.009
17.65	0.006	0.02	0.009
17.68	0.033	0.02	0.009
17.72	0.057	0.02	0.009
17.75	0.079	0.02	0.009
17.78	0.095	0.02	0.009
17.82	0.105	0.02	0.009
17.85	0.109	0.02	0.009
17.88	0.106	0.02	0.009
17.92	0.096	0.02	0.009
17.95	0.081	0.02	0.009
17.98	0.060	0.02	0.009
18.02	0.035	0.02	0.009
18.05	0.008	0.02	0.009
18.08	-0.019	0.02	0.009
18.12	-0.046	0.02	0.009
18.15	-0.070	0.02	0.009
18.18	-0.090	0.02	0.009
18.22	-0.103	0.02	0.009
18.25	-0.110	0.02	0.009
18.28	-0.109	0.02	0.009
18.32	-0.103	0.02	0.009
18.35	-0.089	0.02	0.009
18.38	-0.068	0.02	0.009
18.42	-0.046	0.02	0.009
18.45	-0.018	0.02	0.009
18.48	0.008	0.02	0.009
18.52	0.035	0.02	0.009
18.55	0.059	0.02	0.009
18.58	0.079	0.02	0.009
18.61	0.095	0.02	0.009
18.65	0.105	0.02	0.009
18.68	0.108	0.02	0.009
18.71	0.104	0.02	0.009
18.75	0.094	0.02	0.009
18.78	0.078	0.02	0.009
18.81	0.057	0.02	0.009
18.85	0.033	0.02	0.009
18.88	0.005	0.02	0.009
18.91	-0.021	0.02	0.009
18.95	-0.048	0.02	0.009
18.98	-0.071	0.02	0.009
19.01	-0.091	0.02	0.009
19.05	-0.103	0.02	0.009
19.08	-0.109	0.02	0.009
19.11	-0.108	0.02	0.009
19.15	-0.101	0.02	0.009
19.18	-0.087	0.02	0.009
19.21	-0.066	0.02	0.009
19.25	-0.043	0.02	0.009
19.28	-0.017	0.02	0.009
19.31	0.011	0.02	0.009
19.35	0.037	0.02	0.009
19.38	0.060	0.02	0.009
19.41	0.079	0.02	0.009
19.45	0.095	0.02	0.009
19.48	0.104	0.02	0.009
19.51	0.106	0.02	0.009
19.55	0.102	0.02	0.009
19.58	0.091	0.02	0.009
19.61	0.075	0.02	0.009
19.65	0.054	0.02	0.009
19.68	0.030	0.02	0.009
19.71	0.004	0.02	0.009
19.74	-0.022	0.02	0.009
19.78	-0.048	0.02	0.009
19.81	-0.071	0.02	0.009
19.84	-0.090	0.02	0.009
19.88	-0.101	0.02	0.009
19.91	-0.107	0.02	0.009
19.94	-0.105	0.02	0.009
19.98	-0.098	0.02	0.009
20.01	-0.084	0.02	0.009
20.04	-0.062	0.02	0.009
20.08	-0.039	0.02	0.009
20.11	-0.013	0.02	0.009
20.14	0.013	0.02	0.009
20.18	0.039	0.02	0.009
20.21	0.061	0.02	0.009
20.24	0.081	0.02	0.009
20.28	0.095	0.02	0.009
20.31	0.103	0.02	0.009
20.34	0.105	0.02	0.009
20.38	0.100	0.02	0.009
20.41	0.089	0.02	0.009
20.44	0.072	0.02	0.009
20.48	0.051	0.02	0.009
20.51	0.027	0.02	0.009
20.54	0.000	0.02	0.009
20.58	-0.025	0.02	0.009
20.61	-0.050	0.02	0.009
20.64	-0.072	0.02	0.009
20.68	-0.090	0.02	0.009
20.71	-0.101	0.02	0.009
20.74	-0.106	0.02	0.009
20.78	-0.104	0.02	0.009
20.81	-0.092	0.02	0.009
20.84	-0.078	0.02	0.009
20.88	-0.061	0.02	0.009
20.91	-0.036	0.02	0.009
20.94	-0.009	0.02	0.009
20.97	0.017	0.02	0.009
21.01	0.041	0.02	0.009
21.04	0.063	0.02	0.009
21.07	0.081	0.02	0.009
21.11	0.095	0.02	0.009
21.14	0.102	0.02	0.009
21.17	0.103	0.02	0.009
21.21	0.098	0.02	0.009
21.24	0.087	0.02	0.009
21.27	0.070	0.02	0.009
21.31	0.048	0.02	0.009
21.34	0.025	0.02	0.009
21.37	-0.001	0.02	0.009
21.41	-0.026	0.02	0.009
21.44	-0.051	0.02	0.009
21.47	-0.071	0.02	0.009
21.51	-0.090	0.02	0.009
21.54	-0.100	0.02	0.009
21.57	-0.105	0.02	0.009
21.61	-0.102	0.02	0.009
21.64	-0.091	0.02	0.009
21.67	-0.076	0.02	0.009
21.71	-0.059	0.02	0.009
21.74	-0.033	0.02	0.009
21.77	-0.007	0.02	0.009
21.81	0.018	0.02	0.009
21.84	0.043	0.02	0.009
21.87	0.064	0.02	0.009
21.91	0.082	0.02	0.009
21.94	0.094	0.02	0.009
21.97	0.101	0.02	0.009
22.01	0.101	0.02	0.009
22.04	0.095	0.02	0.009
22.07	0.084	0.02	0.009
22.11	0.067	0.02	0.009
22.14	0.046	0.02	0.009
22.17	0.022	0.02	0.009
22.20	-0.004	0.02	0.009
22.24	-0.029	0.02	0.009
22.27	-0.051	0.02	0.009
22.30	-0.072	0.02	0.009
22.34	-0.089	0.02	0.009
22.37	-0.098	0.02	0.009
22.40	-0.103	0.02	0.009
22.44	-0.100	0.02	0.009
22.47	-0.089	0.02	0.009
22.50	-0.074	0.02	0.009
22.54	-0.053	0.02	0.009
22.57	-0.031	0.02	0.009
22.60	-0.005	0.02	0.009
22.64	0.021	0.02	0.009
22.67	0.044	0.02	0.009
22.70	0.065	0.02	0.009
22.74	0.081	0.02	0.009
22.77	0.093	0.02	0.009
22.80	0.099	0.02	0.009
22.84	0.099	0.02	0.009
22.87	0.092	0.02	0.009
22.90	0.081	0.02	0.009
22.94	0.064	0.02	0.009
22.97	0.042	0.02	0.009
23.00	0.019	0.02	0.009
23.04	-0.007	0.02	0.009
23.07	-0.031	0.02	0.009
23.10	-0.054	0.02	0.009
23.14	-0.071	0.02	0.009
23.17	-0.089	0.02	0.009
23.20	-0.096	0.02	0.009
23.24	-0.101	0.02	0.009
23.27	-0.097	0.02	0.009
23.30	-0.085	0.02	0.009
23.33	-0.071	0.02	0.009
23.37	-0.049	0.02	0.009
23.40	-0.028	0.02	0.009
23.43	-0.002	0.02	0.009
23.47	0.022	0.02	0.009
23.50	0.045	0.02	0.009
23.53	0.065	0.02	0.009
23.57	0.081	0.02	0.009
23.60	0.092	0.02	0.009
23.63	0.097	0.02	0.009
23.67	0.096	0.02	0.009
23.70	0.090	0.02	0.009
23.73	0.077	0.02	0.009
23.77	0.060	0.02	0.009
23.80	0.039	0.02	0.009
23.83	0.015	0.02	0.009
23.87	-0.009	0.02	0.009
23.90	-0.032	0.02	0.009
23.93	-0.055	0.02	0.009
23.97	-0.074	0.02	0.009
24.00	-0.086	0.02	0.009
24.03	-0.093	0.02	0.009
24.07	-0.098	0.02	0.009
24.10	-0.094	0.02	0.009
24.13	-0.082	0.02	0.009
24.17	-0.068	0.02	0.009
24.20	-0.046	0.02	0.009
24.23	-0.024	0.02	0.009
24.27	0.001	0.02	0.009
24.30	0.024	0.02	0.009
24.33	0.046	0.02	0.009
24.37	0.066	0.02	0.009
24.40	0.081	0.02	0.009
24.43	0.092	0.02	0.009
24.47	0.095	0.02	0.009
24.50	0.094	0.02	0.009
24.53	0.087	0.02	0.009
24.56	0.074	0.02	0.009
24.60	0.056	0.02	0.009
24.63	0.035	0.02	0.009
24.66	0.012	0.02	0.009
24.70	-0.012	0.02	0.009
24.73	-0.035	0.02	0.009
24.76	-0.057	0.02	0.009
24.80	-0.076	0.02	0.009
24.83	-0.087	0.02	0.009
24.86	-0.094	0.02	0.009
24.90	-0.097	0.02	0.009
24.93	-0.093	0.02	0.009
24.96	-0.081	0.02	0.009
25.00	-0.066	0.02	0.009
25.03	-0.045	0.02	0.009
25.06	-0.022	0.02	0.009
25.10	0.002	0.02	0.009
25.13	0.025	0.02	0.009
25.16	0.047	0.02	0.009
25.20	0.066	0.02	0.009
25.23	0.080	0.02	0.009
25.26	0.089	0.02	0.009
25.30	0.093	0.02	0.009
25.33	0.091	0.02	0.009
25.36	0.083	0.02	0.009
25.40	0.070	0.02	0.009
25.43	0.053	0.02	0.009
25.46	0.032	0.02	0.009
25.50	0.009	0.02	0.009
25.53	-0.015	0.02	0.009
25.56	-0.038	0.02	0.009
25.60	-0.057	0.02	0.009
25.63	-0.075	0.02	0.009
25.66	-0.085	0.02	0.009
25.70	-0.092	0.02	0.009
25.73	-0.094	0.02	0.009
25.76	-0.086	0.02	0.009
25.79	-0.077	0.02	0.009
25.83	-0.060	0.02	0.009
25.86	-0.041	0.02	0.009
25.89	-0.019	0.02	0.009
25.93	0.004	0.02	0.009
25.96	0.027	0.02	0.009
25.99	0.049	0.02	0.009
26.03	0.067	0.02	0.009
26.06	0.080	0.02	0.009
26.09	0.089	0.02	0.009
26.13	0.092	0.02	0.009
26.16	0.089	0.02	0.009
26.19	0.081	0.02	0.009
26.23	0.067	0.02	0.009
26.26	0.050	0.02	0.009
26.29	0.029	0.02	0.009
26.33	0.007	0.02	0.009
26.36	-0.017	0.02	0.009
26.39	-0.039	0.02	0.009
26.43	-0.057	0.02	0.009
26.46	-0.075	0.02	0.009
26.49	-0.085	0.02	0.009
26.53	-0.091	0.02	0.009
26.56	-0.090	0.02	0.009
26.59	-0.085	0.02	0.009
26.63	-0.073	0.02	0.009
26.66	-0.058	0.02	0.009
26.69	-0.037	0.02	0.009
26.73	-0.015	0.02	0.009
26.76	0.008	0.02	0.009
26.79	0.030	0.02	0.009
26.83	0.051	0.02	0.009
26.86	0.068	0.02	0.009
26.89	0.080	0.02	0.009
26.93	0.088	0.02	0.009
26.96	0.090	0.02	0.009
26.99	0.087	0.02	0.009
27.02	0.079	0.02	0.009
27.06	0.066	0.02	0.009
27.09	0.048	0.02	0.009
27.12	0.027	0.02	0.009
27.16	0.005	0.02	0.009
27.19	-0.018	0.02	0.009
27.22	-0.039	0.02	0.009
27.26	-0.058	0.02	0.009
27.29	-0.075	0.02	0.009
27.32	-0.086	0.02	0.009
27.36	-0.092	0.02	0.009
27.39	-0.089	0.02	0.009
27.42	-0.084	0.02	0.009
27.46	-0.072	0.02	0.009
27.49	-0.056	0.02	0.009
27.52	-0.035	0.02	0.009
27.56	-0.014	0.02	0.009
27.59	0.009	0.02	0.009
27.62	0.031	0.02	0.009
27.66	0.049	0.02	0.009
27.69	0.067	0.02	0.009
27.72	0.079	0.02	0.009
27.76	0.087	0.02	0.009
27.79	0.088	0.02	0.009
27.82	0.084	0.02	0.009
27.86	0.075	0.02	0.009
27.89	0.062	0.02	0.009
27.92	0.044	0.02	0.009
27.96	0.023	0.02	0.009
27.99	0.002	0.02	0.009
28.02	-0.020	0.02	0.009
28.06	-0.042	0.02	0.009
28.09	-0.061	0.02	0.009
28.12	-0.074	0.02	0.009
